,bias,neg,pos,tgt
306,1,489,174,0
307,1,353,170,0
308,1,178,63,0
309,1,221,114,0
310,1,239,52,0
311,1,289,117,0
312,1,200,31,0
313,1,395,145,0
314,1,416,146,0
315,1,109,29,0
316,1,215,72,0
317,1,85,198,1
318,1,204,33,0
319,1,85,195,0
320,1,100,43,0
321,1,30,4,1
322,1,371,154,0
323,1,30,4,0
324,1,357,218,0
325,1,75,159,1
326,1,220,144,0
327,1,231,123,0
328,1,264,90,0
329,1,314,133,0
330,1,236,187,0
331,1,100,69,1
332,1,513,332,0
333,1,56,17,0
334,1,40,16,0
335,1,220,154,0
336,1,44,18,0
337,1,195,161,0
338,1,561,196,0
339,1,202,79,0
340,1,135,50,0
341,1,143,148,0
342,1,64,181,1
343,1,337,129,0
344,1,729,245,0
345,1,208,71,0
346,1,106,79,0
347,1,289,160,0
348,1,138,112,0
349,1,106,79,0
350,1,106,79,0
351,1,289,160,0
352,1,355,192,0
353,1,202,189,0
354,1,212,196,1
355,1,69,58,0
356,1,462,307,1
357,1,83,35,0
358,1,289,160,1
359,1,239,137,0
360,1,289,160,0
361,1,147,134,1
362,1,79,92,0
363,1,138,112,0
364,1,106,79,0
365,1,289,160,0
366,1,165,73,0
367,1,248,154,0
368,1,238,213,0
369,1,388,291,0
370,1,106,79,0
371,1,106,79,0
372,1,106,79,0
373,1,106,79,0
374,1,62,63,0
375,1,597,574,1
376,1,388,291,0
377,1,388,291,0
378,1,289,160,0
379,1,248,154,0
380,1,81,202,0
381,1,452,298,1
382,1,166,211,1
383,1,17,31,0
384,1,367,251,1
385,1,264,524,1
386,1,38,96,1
387,1,38,96,1
388,1,37,14,0
389,1,89,94,0
390,1,28,11,0
391,1,130,554,1
392,1,134,158,1
393,1,121,242,1
394,1,91,336,1
395,1,111,303,1
396,1,304,118,1
397,1,44,97,0
398,1,173,595,1
399,1,159,297,1
400,1,188,215,0
401,1,12,4,0
402,1,111,303,1
403,1,38,96,1
404,1,188,215,0
405,1,89,94,0
406,1,38,96,1
407,1,89,94,1
408,1,229,675,1
409,1,148,204,1
410,1,269,637,1
411,1,130,554,1
412,1,150,133,1
413,1,45,10,0
414,1,23,60,1
415,1,201,108,0
416,1,18,81,1
417,1,130,554,1
418,1,57,33,0
419,1,79,59,0
420,1,162,133,0
421,1,12,7,0
422,1,213,120,0
423,1,174,103,0
424,1,270,445,1
425,1,399,413,0
426,1,143,41,0
427,1,86,46,0
428,1,99,34,0
429,1,109,49,0
430,1,109,106,0
431,1,38,19,0
432,1,81,27,0
433,1,3,1,0
434,1,23,61,1
435,1,159,99,0
436,1,286,171,0
437,1,175,438,1
438,1,453,204,0
439,1,14,3,0
440,1,308,158,0
441,1,216,86,0
442,1,232,140,0
443,1,121,103,0
444,1,504,492,0
445,1,275,211,1
446,1,78,128,1
447,1,14,3,0
448,1,81,170,1
449,1,150,331,1
450,1,226,175,0
451,1,777,526,1
452,1,97,579,1
453,1,197,171,0
454,1,115,286,1
455,1,134,194,1
456,1,149,418,1
457,1,74,268,1
458,1,122,332,1
459,1,226,390,1
460,1,116,184,1
461,1,435,264,1
462,1,141,398,1
463,1,174,205,0
464,1,250,273,0
465,1,261,184,0
466,1,107,265,1
467,1,134,167,1
468,1,220,392,1
469,1,95,38,0
470,1,151,307,1
471,1,425,397,1
472,1,451,458,1
473,1,231,304,1
474,1,81,170,1
475,1,407,600,1
476,1,296,215,0
477,1,83,44,0
478,1,114,207,1
479,1,135,131,0
480,1,82,172,1
481,1,50,106,0
482,1,89,144,0
483,1,240,646,1
484,1,177,136,0
485,1,124,122,0
486,1,124,122,0
487,1,607,351,0
488,1,338,236,0
489,1,69,196,1
490,1,190,431,1
491,1,190,431,1
492,1,190,431,1
493,1,83,199,1
494,1,87,219,1
495,1,190,431,1
496,1,197,209,0
497,1,124,122,0
498,1,169,261,0
499,1,190,431,1
500,1,190,431,1
501,1,138,152,0
502,1,75,125,1
503,1,445,243,0
504,1,190,431,1
505,1,190,431,1
506,1,190,431,1
507,1,121,136,0
508,1,190,431,1
509,1,216,163,0
510,1,190,431,1
511,1,190,431,1
512,1,190,431,1
513,1,281,385,1
514,1,190,431,1
515,1,341,226,0
516,1,190,431,1
517,1,106,48,0
518,1,556,290,0
519,1,377,223,0
520,1,125,90,0
521,1,109,29,0
522,1,127,44,0
523,1,127,51,0
524,1,79,30,0
525,1,201,91,0
526,1,99,25,0
527,1,79,69,0
528,1,128,35,0
529,1,100,60,0
530,1,383,208,0
531,1,93,45,0
532,1,201,91,0
533,1,454,236,1
534,1,494,279,0
535,1,132,59,1
536,1,377,233,0
537,1,596,269,0
538,1,126,76,0
539,1,325,138,0
540,1,55,15,0
541,1,382,178,0
542,1,303,217,0
543,1,224,150,0
544,1,113,69,1
545,1,203,153,1
546,1,148,52,0
547,1,297,141,1
548,1,358,231,1
549,1,217,153,0
550,1,265,151,0
551,1,163,62,0
552,1,81,71,1
553,1,219,84,0
554,1,176,94,0
555,1,306,180,0
556,1,297,134,1
557,1,201,110,0
558,1,174,44,0
559,1,203,88,0
560,1,296,112,0
561,1,130,51,0
562,1,144,43,0
563,1,46,28,1
564,1,467,194,0
565,1,44,23,0
566,1,262,127,0
567,1,170,54,0
568,1,35,13,0
569,1,297,141,0
570,1,297,134,0
571,1,181,177,0
572,1,169,109,0
573,1,157,314,1
574,1,165,226,0
575,1,111,146,0
576,1,198,293,1
577,1,111,119,1
578,1,99,166,0
579,1,124,198,1
580,1,250,407,1
581,1,176,233,1
582,1,184,223,0
583,1,202,137,0
584,1,198,293,0
585,1,557,484,1
586,1,98,172,1
587,1,171,217,1
588,1,192,326,1
589,1,154,215,0
590,1,204,241,1
591,1,171,217,0
592,1,99,172,1
593,1,127,148,1
594,1,115,118,0
595,1,154,125,0
596,1,120,145,1
597,1,165,226,0
598,1,112,121,1
599,1,248,196,1
600,1,57,76,0
601,1,198,293,1
602,1,129,150,1
603,1,99,172,1
604,1,99,172,1
605,1,99,107,0
606,1,99,172,0
607,1,248,196,1
608,1,198,293,1
609,1,113,128,0
610,1,45,71,1
611,1,449,301,1
612,1,69,121,1
613,1,66,104,0
614,1,1149,800,1
615,1,393,215,1
616,1,179,179,1
617,1,130,275,1
618,1,272,182,0
619,1,84,66,0
620,1,125,111,1
621,1,354,167,1
622,1,225,290,1
623,1,248,191,1
624,1,45,71,0
625,1,75,63,1
626,1,125,169,1
627,1,150,167,0
628,1,365,321,1
629,1,740,347,0
630,1,45,71,1
631,1,102,55,0
632,1,255,276,1
633,1,1149,800,1
634,1,45,71,0
635,1,1149,800,1
636,1,48,81,0
637,1,113,192,1
638,1,114,147,1
639,1,201,243,1
640,1,79,59,0
641,1,111,50,0
642,1,256,129,0
643,1,423,201,0
644,1,52,11,0
645,1,145,24,0
646,1,308,143,0
647,1,249,401,1
648,1,43,105,0
649,1,226,120,1
650,1,77,43,0
651,1,136,25,0
652,1,562,220,0
653,1,145,328,1
654,1,171,192,1
655,1,146,26,0
656,1,369,121,0
657,1,494,214,0
658,1,212,221,0
659,1,186,67,0
660,1,135,47,0
661,1,836,322,0
662,1,416,226,0
663,1,180,47,0
664,1,286,161,0
665,1,318,105,0
666,1,357,265,0
667,1,54,11,0
668,1,484,200,0
669,1,235,601,1
670,1,413,135,0
671,1,136,57,0
672,1,150,62,0
673,1,470,353,0
674,1,139,99,0
675,1,39,19,0
676,1,59,36,0
677,1,100,77,0
678,1,297,156,0
679,1,175,46,0
680,1,303,212,1
681,1,367,195,0
682,1,277,101,0
683,1,277,101,0
684,1,291,88,0
685,1,210,60,0
686,1,90,28,0
687,1,386,270,0
688,1,9,1,0
689,1,343,137,0
690,1,166,136,0
691,1,455,238,0
692,1,92,142,0
693,1,116,38,0
694,1,139,22,0
695,1,109,30,0
696,1,139,111,0
697,1,267,167,0
698,1,113,46,0
699,1,118,66,0
700,1,500,215,0
701,1,45,9,0
702,1,576,180,0
703,1,191,46,0
704,1,177,59,0
705,1,162,19,0
706,1,88,18,0
707,1,532,192,0
708,1,194,71,0
709,1,330,72,0
710,1,224,132,0
711,1,276,134,0
712,1,149,65,0
713,1,51,12,0
714,1,81,45,0
715,1,190,68,0
716,1,618,333,0
717,1,156,69,0
718,1,409,251,0
719,1,269,119,1
720,1,365,226,0
721,1,138,36,0
722,1,150,55,0
723,1,127,64,0
724,1,69,45,0
725,1,235,66,0
726,1,344,103,0
727,1,42,7,0
728,1,324,122,1
729,1,115,31,0
730,1,392,130,0
731,1,119,27,0
732,1,282,152,0
733,1,83,24,1
734,1,437,167,0
735,1,75,33,1
736,1,235,109,0
737,1,116,42,0
738,1,173,102,0
739,1,251,79,0
740,1,275,147,0
741,1,291,132,0
742,1,64,15,0
743,1,87,23,0
744,1,163,79,1
745,1,179,50,0
746,1,419,203,0
747,1,73,20,0
748,1,387,388,0
749,1,127,101,0
750,1,153,61,0
751,1,223,53,0
752,1,208,112,0
753,1,720,322,1
754,1,394,212,0
755,1,429,111,0
756,1,285,120,0
757,1,191,106,0
758,1,145,308,0
759,1,35,2,0
760,1,184,80,0
761,1,156,51,0
762,1,74,14,0
763,1,54,9,0
764,1,376,194,0
765,1,492,266,0
766,1,250,138,0
767,1,671,399,0
768,1,43,9,0
769,1,473,256,0
770,1,352,112,0
771,1,140,78,0
772,1,269,110,0
773,1,207,63,0
774,1,116,94,0
775,1,618,262,1
776,1,215,97,0
777,1,61,13,0
778,1,101,34,0
779,1,573,225,0
780,1,415,154,0
781,1,218,93,0
782,1,295,128,0
783,1,25,2,0
784,1,13,14,0
785,1,418,216,0
786,1,390,113,0
787,1,262,151,0
788,1,134,90,0
789,1,405,149,1
790,1,73,20,0
791,1,61,12,0
792,1,230,294,0
793,1,318,91,0
794,1,85,81,0
795,1,134,90,0
796,1,409,159,0
797,1,60,14,0
798,1,105,43,0
799,1,28,2,0
800,1,285,169,0
801,1,194,169,0
802,1,654,274,0
803,1,65,96,0
804,1,469,211,0
805,1,226,222,0
806,1,430,138,0
807,1,399,212,0
808,1,366,348,1
809,1,160,148,0
810,1,59,10,0
811,1,4,0,0
812,1,399,141,0
813,1,76,26,0
814,1,256,94,0
815,1,72,26,0
816,1,243,125,0
817,1,272,188,0
818,1,262,90,0
819,1,514,237,1
820,1,4,0,0
821,1,204,135,1
822,1,386,263,0
823,1,1,0,0
824,1,29,3,0
825,1,244,129,0
826,1,29,17,0
827,1,255,132,0
828,1,210,69,0
829,1,339,215,0
830,1,135,43,0
831,1,20,4,0
832,1,71,29,0
833,1,185,48,0
834,1,126,39,0
835,1,536,189,0
836,1,353,175,1
837,1,16,14,0
838,1,257,145,0
839,1,146,21,0
840,1,20,7,0
841,1,166,47,0
842,1,88,74,1
843,1,182,211,0
844,1,96,29,0
845,1,18,3,0
846,1,203,57,0
847,1,675,342,0
848,1,43,47,0
849,1,42,17,0
850,1,86,47,0
851,1,77,37,0
852,1,246,124,0
853,1,85,26,0
854,1,331,186,0
855,1,609,270,0
856,1,487,193,0
857,1,284,232,1
858,1,251,93,0
859,1,288,138,0
860,1,81,64,0
861,1,153,70,0
862,1,20,8,0
863,1,255,190,1
864,1,96,43,0
865,1,353,196,0
866,1,327,237,0
867,1,74,25,0
868,1,33,12,0
869,1,52,16,0
870,1,35,14,1
871,1,420,233,0
872,1,276,134,0
873,1,229,162,0
874,1,12,7,0
875,1,114,82,1
876,1,47,35,0
877,1,432,129,0
878,1,81,43,0
879,1,202,99,0
880,1,176,125,0
881,1,44,32,0
882,1,388,148,1
883,1,178,95,0
884,1,56,14,0
885,1,113,23,0
886,1,43,7,0
887,1,338,224,0
888,1,153,44,0
889,1,71,11,0
890,1,95,28,0
891,1,235,113,0
892,1,149,63,0
893,1,532,184,0
894,1,600,277,1
895,1,38,13,1
896,1,254,283,0
897,1,291,105,0
898,1,511,255,0
899,1,572,222,0
900,1,99,36,0
901,1,42,8,0
902,1,623,318,0
903,1,305,146,0
904,1,86,65,0
905,1,238,100,0
906,1,158,44,0
907,1,147,59,0
908,1,45,8,0
909,1,87,19,0
910,1,311,105,0
911,1,54,17,0
912,1,191,73,0
913,1,226,109,0
914,1,133,44,0
915,1,218,305,1
916,1,113,76,0
917,1,602,180,0
918,1,246,88,0
919,1,383,160,0
920,1,385,149,0
921,1,472,146,0
922,1,201,96,0
923,1,59,13,0
924,1,32,7,0
925,1,468,246,0
926,1,428,356,1
927,1,169,113,0
928,1,47,18,0
929,1,213,187,1
930,1,570,216,0
931,1,276,100,0
932,1,350,187,1
933,1,432,333,0
934,1,254,111,0
935,1,358,218,0
936,1,295,135,0
937,1,225,82,0
938,1,206,202,0
939,1,267,243,1
940,1,209,101,0
941,1,76,25,0
942,1,429,210,0
943,1,147,64,0
944,1,352,187,0
945,1,664,318,0
946,1,336,109,0
947,1,98,64,0
948,1,283,107,0
949,1,398,176,1
950,1,172,48,0
951,1,168,81,0
952,1,727,157,0
953,1,727,157,0
954,1,1309,486,0
955,1,489,125,0
956,1,472,129,0
957,1,506,89,0
958,1,506,89,0
959,1,447,68,0
960,1,450,108,0
961,1,630,283,0
962,1,727,157,0
963,1,356,82,0
964,1,683,185,0
965,1,485,157,0
966,1,779,174,0
967,1,498,100,0
968,1,402,79,0
969,1,636,146,0
970,1,356,82,0
971,1,683,185,0
972,1,506,89,0
973,1,714,165,0
974,1,636,146,1
975,1,734,265,0
976,1,381,66,0
977,1,636,146,0
978,1,356,82,0
979,1,511,186,0
980,1,506,89,0
981,1,636,146,0
982,1,259,66,0
983,1,779,174,0
984,1,565,386,0
985,1,708,267,0
986,1,317,79,0
987,1,302,64,0
988,1,322,298,1
989,1,698,214,0
990,1,867,362,0
991,1,236,46,1
992,1,284,98,0
993,1,247,55,0
994,1,241,45,0
995,1,246,45,0
996,1,851,381,0
997,1,312,71,0
998,1,402,160,0
999,1,433,96,0
1000,1,287,54,0
1001,1,605,233,0
1002,1,397,90,0
1003,1,409,98,0
1004,1,363,183,0
1005,1,890,413,1
1006,1,459,157,0
1007,1,492,168,0
1008,1,403,100,0
1009,1,480,167,0
1010,1,478,92,0
1011,1,527,139,0
1012,1,494,190,0
1013,1,396,115,0
1014,1,347,88,1
1015,1,301,64,1
1016,1,262,60,0
1017,1,429,134,0
1018,1,366,212,1
1019,1,376,78,0
1020,1,47,29,0
1021,1,651,103,0
1022,1,398,89,0
1023,1,233,45,0
1024,1,292,62,0
1025,1,279,65,0
1026,1,326,165,0
1027,1,231,44,0
1028,1,387,90,0
1029,1,506,401,0
1030,1,413,93,0
1031,1,550,203,0
1032,1,415,92,0
1033,1,505,106,0
1034,1,259,57,0
1035,1,431,147,0
1036,1,493,356,0
1037,1,441,199,0
1038,1,231,44,0
1039,1,532,186,0
1040,1,367,66,0
1041,1,470,103,0
1042,1,387,87,0
1043,1,298,128,0
1044,1,287,108,0
1045,1,398,89,0
1046,1,803,411,0
1047,1,747,230,0
1048,1,367,161,0
1049,1,385,126,0
1050,1,533,141,0
1051,1,468,131,0
1052,1,810,129,0
1053,1,424,94,0
1054,1,329,79,0
1055,1,1065,288,0
1056,1,283,72,0
1057,1,460,367,0
1058,1,345,87,0
1059,1,574,375,0
1060,1,186,284,0
1061,1,352,499,1
1062,1,103,203,0
1063,1,204,362,1
1064,1,258,434,1
1065,1,70,197,0
1066,1,157,224,0
1067,1,291,273,0
1068,1,305,285,0
1069,1,73,31,0
1070,1,254,438,1
1071,1,102,201,0
1072,1,360,352,0
1073,1,116,255,1
1074,1,167,256,0
1075,1,254,438,1
1076,1,146,445,1
1077,1,258,493,1
1078,1,82,202,0
1079,1,329,292,0
1080,1,357,402,1
1081,1,244,344,1
1082,1,106,227,0
1083,1,54,190,1
1084,1,60,187,0
1085,1,672,712,1
1086,1,175,253,0
1087,1,228,322,0
1088,1,59,217,1
1089,1,106,252,1
1090,1,258,434,1
1091,1,225,329,0
1092,1,79,209,0
1093,1,431,358,0
1094,1,90,216,0
1095,1,215,409,1
1096,1,446,683,1
1097,1,203,263,0
1098,1,116,227,0
1099,1,379,652,1
1100,1,53,189,1
1101,1,179,539,1
1102,1,299,691,1
1103,1,154,523,1
1104,1,608,717,1
1105,1,90,216,0
1106,1,255,382,0
1107,1,127,409,1
1108,1,479,339,0
1109,1,90,216,0
1110,1,151,310,1
1111,1,89,389,1
1112,1,960,513,0
1113,1,185,271,0
1114,1,180,285,0
1115,1,273,368,0
1116,1,216,401,1
1117,1,149,232,0
1118,1,318,299,0
1119,1,177,403,1
1120,1,99,230,1
1121,1,155,316,1
1122,1,516,479,0
1123,1,787,521,0
1124,1,369,797,1
1125,1,148,220,0
1126,1,161,244,1
1127,1,229,601,1
1128,1,996,855,1
1129,1,99,204,0
1130,1,146,219,0
1131,1,75,235,1
1132,1,601,650,1
1133,1,98,321,1
1134,1,153,577,1
1135,1,144,497,1
1136,1,325,476,1
1137,1,257,484,1
1138,1,101,331,1
1139,1,216,715,1
1140,1,204,664,1
1141,1,138,219,1
1142,1,98,321,1
1143,1,72,438,1
1144,1,76,493,1
1145,1,76,493,1
1146,1,76,493,1
1147,1,76,493,1
1148,1,612,607,1
1149,1,282,483,1
1150,1,157,570,1
1151,1,76,493,1
1152,1,76,493,1
1153,1,430,940,1
1154,1,418,470,1
1155,1,245,271,0
1156,1,153,577,1
1157,1,317,278,0
1158,1,95,691,1
1159,1,76,495,1
1160,1,294,348,0
1161,1,175,303,1
1162,1,114,263,1
1163,1,255,539,1
1164,1,118,181,1
1165,1,89,217,1
1166,1,434,439,1
1167,1,373,233,1
1168,1,168,272,1
1169,1,177,214,1
1170,1,155,342,1
1171,1,104,148,1
1172,1,97,224,1
1173,1,155,342,1
1174,1,283,216,0
1175,1,150,365,1
1176,1,254,463,1
1177,1,210,353,1
1178,1,254,158,0
1179,1,155,342,1
1180,1,155,342,1
1181,1,179,350,1
1182,1,113,262,1
1183,1,485,378,1
1184,1,155,342,1
1185,1,155,342,1
1186,1,118,181,0
1187,1,102,147,1
1188,1,53,117,1
1189,1,160,395,1
1190,1,112,146,0
1191,1,155,342,1
1192,1,504,245,1
1193,1,294,348,0
1194,1,342,233,1
1195,1,182,214,0
1196,1,333,344,1
1197,1,301,370,1
1198,1,269,265,1
1199,1,219,251,1
1200,1,462,288,0
1201,1,167,206,1
1202,1,246,288,1
1203,1,607,433,0
1204,1,366,537,0
1205,1,341,764,1
1206,1,212,213,0
1207,1,297,291,1
1208,1,603,449,1
1209,1,327,297,1
1210,1,348,299,0
1211,1,225,196,1
1212,1,368,347,0
1213,1,330,356,1
1214,1,250,297,0
1215,1,462,388,1
1216,1,457,504,1
1217,1,349,261,1
1218,1,259,475,1
1219,1,284,216,1
1220,1,570,498,1
1221,1,858,582,1
1222,1,159,219,1
1223,1,476,337,1
1224,1,442,411,0
1225,1,394,325,0
1226,1,165,216,0
1227,1,531,556,1
1228,1,546,502,1
1229,1,584,501,1
1230,1,163,324,1
1231,1,70,198,1
1232,1,163,324,0
1233,1,422,702,1
1234,1,247,527,1
1235,1,154,387,1
1236,1,291,467,1
1237,1,622,662,1
1238,1,385,467,0
1239,1,276,546,1
1240,1,218,407,1
1241,1,308,431,1
1242,1,175,446,1
1243,1,192,617,1
1244,1,303,707,1
1245,1,507,750,1
1246,1,276,446,0
1247,1,282,474,0
1248,1,415,1077,1
1249,1,458,868,1
1250,1,207,395,0
1251,1,175,446,1
1252,1,220,465,1
1253,1,400,933,1
1254,1,339,662,1
1255,1,610,701,1
1256,1,315,465,1
1257,1,385,527,1
1258,1,289,699,1
1259,1,317,659,1
1260,1,346,559,1
1261,1,286,587,1
1262,1,392,799,1
1263,1,357,178,0
1264,1,330,540,1
1265,1,427,232,0
1266,1,486,266,0
1267,1,472,549,0
1268,1,94,86,0
1269,1,325,186,0
1270,1,453,247,0
1271,1,357,214,0
1272,1,221,137,0
1273,1,244,134,0
1274,1,583,314,1
1275,1,141,129,0
1276,1,503,525,0
1277,1,139,149,1
1278,1,354,205,0
1279,1,445,387,1
1280,1,164,157,0
1281,1,129,128,0
1282,1,298,140,0
1283,1,1019,549,0
1284,1,139,149,0
1285,1,335,243,0
1286,1,405,192,0
1287,1,226,130,0
1288,1,227,153,0
1289,1,339,738,1
1290,1,138,121,0
1291,1,144,148,0
1292,1,507,384,1
1293,1,251,211,0
1294,1,139,109,0
1295,1,309,693,1
1296,1,137,99,0
1297,1,1073,563,0
1298,1,306,235,0
1299,1,245,398,0
1300,1,351,378,1
1301,1,750,331,0
1302,1,250,159,0
1303,1,626,328,1
1304,1,137,135,1
1305,1,158,109,0
1306,1,166,138,1
1307,1,236,224,0
1308,1,385,398,0
1309,1,385,796,1
1310,1,430,203,1
1311,1,126,100,0
1312,1,99,101,0
1313,1,174,211,0
1314,1,528,264,0
1315,1,110,95,1
1316,1,199,132,0
1317,1,193,165,0
1318,1,174,136,0
1319,1,156,122,0
1320,1,615,465,0
1321,1,352,218,1
1322,1,292,423,0
1323,1,151,111,1
1324,1,168,419,1
1325,1,141,100,0
1326,1,506,256,0
1327,1,248,185,0
1328,1,366,192,0
1329,1,479,242,0
1330,1,438,541,1
1331,1,301,370,0
1332,1,366,537,0
1333,1,639,374,1
1334,1,283,232,1
1335,1,246,288,1
1336,1,489,330,0
1337,1,616,478,0
1338,1,802,486,0
1339,1,227,278,1
1340,1,264,208,1
1341,1,370,318,0
1342,1,663,565,0
1343,1,219,251,1
1344,1,326,261,1
1345,1,159,219,1
1346,1,546,530,1
1347,1,421,314,0
1348,1,538,426,0
1349,1,858,582,0
1350,1,440,350,0
1351,1,324,703,1
1352,1,343,313,0
1353,1,189,410,1
1354,1,434,374,0
1355,1,489,445,0
1356,1,167,206,1
1357,1,356,438,1
1358,1,547,397,0
1359,1,171,196,1
